,First Name,Last Name,Role,Height,Weight
0,Steven,Adams,Center,6 ft 11 inches ,265 lbs 
1,Bam,Adebayo,Center-Forward,6 ft 9 inches ,255 lbs 
2,LaMarcus,Aldridge,Center-Forward,6 ft 11 inches ,250 lbs 
3,Nickeil,Alexander-Walker,Guard,6 ft 5 inches ,205 lbs 
4,Kyle,Alexander,Forward-Center,6 ft 10 inches ,216 lbs 
5,Grayson,Allen,Guard,6 ft 4 inches ,198 lbs 
6,Jarrett,Allen,Center,6 ft 11 inches ,243 lbs 
7,Kadeem,Allen,Guard,6 ft 1 inches ,200 lbs 
8,Al-Farouq,Aminu,Forward,6 ft 8 inches ,220 lbs 
9,Kyle,Anderson,Forward-Guard,6 ft 9 inches ,230 lbs 
10,Giannis,Antetokounmpo,Forward,6 ft 11 inches ,242 lbs 
11,Kostas,Antetokounmpo,Forward,6 ft 10 inches ,200 lbs 
12,Thanasis,Antetokounmpo,Forward,6 ft 6 inches ,219 lbs 
13,Carmelo,Anthony,Forward,6 ft 8 inches ,238 lbs 
14,OG,Anunoby,Forward,6 ft 7 inches ,232 lbs 
15,Ryan,Arcidiacono,Guard,6 ft 3 inches ,195 lbs 
16,Trevor,Ariza,Forward,6 ft 8 inches ,215 lbs 
17,D.J.,Augustin,Guard,5 ft 11 inches ,183 lbs 
18,Deandre,Ayton,Center,6 ft 11 inches ,250 lbs 
19,Dwayne,Bacon,Guard-Forward,6 ft 6 inches ,221 lbs 
20,Marvin,Bagley III,Forward,6 ft 11 inches ,235 lbs 
21,Lonzo,Ball,Guard,6 ft 6 inches ,190 lbs 
22,Mo,Bamba,Center,7 ft 0 inches ,231 lbs 
23,J.J.,Barea,Guard,5 ft 10 inches ,180 lbs 
24,Harrison,Barnes,Forward,6 ft 8 inches ,225 lbs 
25,RJ,Barrett,Forward-Guard,6 ft 6 inches ,214 lbs 
26,Will,Barton,Guard,6 ft 5 inches ,181 lbs 
27,Keita,Bates-Diop,Forward,6 ft 8 inches ,229 lbs 
28,Nicolas,Batum,Guard-Forward,6 ft 9 inches ,230 lbs 
29,Aron,Baynes,Center-Forward,6 ft 10 inches ,260 lbs 
30,Kent,Bazemore,Guard-Forward,6 ft 4 inches ,195 lbs 
31,Darius,Bazley,Forward-Guard,6 ft 8 inches ,208 lbs 
32,Bradley,Beal,Guard,6 ft 3 inches ,207 lbs 
33,Malik,Beasley,Guard,6 ft 4 inches ,187 lbs 
34,Marco,Belinelli,Guard,6 ft 5 inches ,220 lbs 
35,DeAndre',Bembry,Guard-Forward,6 ft 5 inches ,210 lbs 
36,Dragan,Bender,Forward,7 ft 0 inches ,249 lbs 
37,Davis,Bertans,Forward,6 ft 10 inches ,225 lbs 
38,Patrick,Beverley,Guard,6 ft 1 inches ,180 lbs 
39,Khem,Birch,Center,6 ft 9 inches ,233 lbs 
40,Goga,Bitadze,Center-Forward,6 ft 11 inches ,250 lbs 
41,Bismack,Biyombo,Center,6 ft 8 inches ,255 lbs 
42,Nemanja,Bjelica,Forward,6 ft 10 inches ,234 lbs 
43,Eric,Bledsoe,Guard,6 ft 1 inches ,214 lbs 
44,Bogdan,Bogdanovic,Guard,6 ft 6 inches ,220 lbs 
45,Bojan,Bogdanovic,Forward,6 ft 8 inches ,226 lbs 
46,Bol,Bol,Center-Forward,7 ft 2 inches ,220 lbs 
47,Jordan,Bone,Guard,6 ft 3 inches ,180 lbs 
48,Isaac,Bonga,Guard,6 ft 8 inches ,180 lbs 
49,Devin,Booker,Guard,6 ft 5 inches ,206 lbs 
50,Chris,Boucher,Forward-Center,6 ft 9 inches ,200 lbs 
51,Brian,Bowen II,Forward-Guard,6 ft 6 inches ,190 lbs 
52,Ky,Bowman,Guard,6 ft 1 inches ,187 lbs 
53,Avery,Bradley,Guard,6 ft 3 inches ,180 lbs 
54,Tony,Bradley,Center-Forward,6 ft 10 inches ,248 lbs 
55,Jarrell,Brantley,Forward,6 ft 5 inches ,250 lbs 
56,Ignas,Brazdeikis,Forward,6 ft 6 inches ,221 lbs 
57,Mikal,Bridges,Forward,6 ft 6 inches ,209 lbs 
58,Miles,Bridges,Forward,6 ft 6 inches ,225 lbs 
59,Oshae,Brissett,Forward-Guard,6 ft 7 inches ,210 lbs 
